No.,Comment,Label
50,Gi?ng nhau nh? 2 gi?t n??c ?ai :)),1
51,ngáo a,1
52,M CHOI DA À,2
53,bú ?á,1
54,t này ch?i ?? r,2
55,:))) ?ang phê ?á,1
56,s? ?á còn l?i ? ?âu,0
57,?á nay ngon z ck,0
58,bóng vl,1
59,dm bóng,1
60,con ca ve,2
61,?á t?i,0
62,?nh ki?m gái,0
63,nét t?n,0
64,cringe vl,1
65,v?a khít,0
66,??n ác,1
67,ph? ?iên,1
68,quê ác,1
69,tranh london ac,0
70,lozz khùng,1
71,t?t vc,1
72,t?t ác,1
73,:))))) tranh l?m ác,0
74,clm pr,1
75,pr ac,0
76,Da tay ?en da m?t tr?ng ????,0
77,VCL,1
78,da cap vl =)))),1
79,show loa ?i,0
80,xao lol ghê =))))),1
81,26 cl,1
82,??? ve cl a`,1
83,m khay a 3ker ?,0
84,xam lz ha =)),1
85,MÀY D?Y MÀY MÚA N?A ?I :)),0
86,CÓ CL,1
87,Lok mu?n nh?ng Riot say ?éo,1
88,Lên c? Vtc v?i Zing là ?n lol r ??y.,1
89,cu?i vcl,1
90,pha game vl,1
91,?á c??i,0
92,Kèo thua bú,0
93,"Anh này có cá ?? nha , kèo th?ng thua vui v? thôi min max có 20tr à",2
94,trol vcl,1
95,Lok ? ?ùn,2
96,2k vnd,0
97,m? ?? Anh Qu?c mà ??,0
98,Im very happy to be here ...,0
99,ng??i anh nha ông n?i,0
100,T1 con?,0
101,Hello ck,0
102,ác view ác v?y,0
103,background ác,0
104,di?n ácccc,0
105,lù con,0
106,có cái ???ng gi?a x?u vcl,1
107,?á vào r?i aee ?i,1
108,Quê vl,1
109,?i massge b? b?nh r,0
110,Clm idol tr?n m?y nay luôn h?,1
111,?áy xh zeros T1 con,2
112,can i ch?t yogurt,2
113,có cái l gi?ng;),1
114,??? Mày ch?i ?á h?,2
115,Hít m?y kí r,0
116,?o ?á,1
117,t này ch?i ?? r,2
118,s? ?á còn l?i ? ?âu,0
119,?á ngon không l?c,0
120,k? m?ng thôi ck iu,0
121,?nh ki?m gái t?i,0
122,clm ch?a j ?ã ?á r,1
123,cái t??ng ?nh bóng vl,2
124,lgbt cái qu?n ác,0
125,hai vcl=))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))',1
126,X?u ác,0
127,nét t?n,0
128,khúm núm vl :))))))))))))),1
129,mua ? london clm :)),1
130,xinh vl,1
131,ngáo ác,1
132,clm fbi open the door,1
133,?á vch :))),1
134,clm quê,1
135,que vcl,1
136,lâu vl,1
137,lozz khùng,2
138,tranh top top hài vc,1
139,phe vai lz,1
140,?éo nghe th?y gì,1
141,clma pr,1
142,x?o ác,1
143,cái ?ó là ?á mà L?c ??,0
144,Da tay ?en da m?t tr?ng ????,0
145,k?t nh?t concard,1
146,"Anh ?i anh có ch?i gay không? Em có ???ng dây ch?i gay, m?y chú th?y ?nh anh thì thích l?m",2
147,d?o này Lok ít ch?i ?á ch?a ?,2
148,"stream ngon h?n , ?ánh chuyên nghi?p làm clg",1
149,vtc cái db à nhai ?i nhai l?i hoài,1
150,la cái l gì z,1
151,clm kkk,1
152,clm ac,1
153,??n,1
154,??n ch?a,1
155,Trình Này 36?ái,1
156,pha game vl,1
157,V?N CÒN TR?U TRE NHU NGÀY NÀO V zerosss,2
158,?á c??i,1
159,chi z th l,1
160,ông r tr??t ? bot cook luôn,0
161,lok stream v?y thôi ch? qu?n ch?c c?ng són r?i =)))))))),2
162,?ái ra qu?n luôn,0
163,vai biu qu? kèo h?i x?a,1
164,m?ng ncc mà còn ntn thì h?i khó b?n,1
165,vl fancy 5 duelist,1
166,caster n? cas hay vl,1
167,vl chim,1
168,anh viv troll vl,1
169,hài vl,1
170,lol meh báo ko à,1
171,lag vãi :))),1
172,vl nhatthong block :))))),1
173,bl nghe líu l??i vl =)),1
174,vl dao,1
175,nói th?t là cast thì làm ?n cast cho nó nhi?t 1 tý. c? cast 1 nh?p nghe khó ch?u vcl,1
176,vcl anh huy ho :))),1
177,tâm vcl,1
178,aim dell gi day,1
179,qu? tâm nhình ?au m?t vcl,1
180,nizzy nhon vl =)),2
181,ong nao vailoz day =)),1
182,qu? tâm nhìn ?o vl,1
183,?cm qu? tâm nh? cái bát ?n c?m c?a t :)),1
184,double tap ghê vl,1
185,vl nizzy có qu? tâm gì ??y,1
186,cdg th? ????,1
187,cast c? ch?m ch?m nh? hít là ?u ?? =]]z,2
188,vl khui luôn l?i sai c?a BTC =))),1
189,tay to thì vl,1
190,vl sScary,1
191,?cm s?p tiên tri ?úng r?i,1
192,vl bò,1
193,ONIC ?en vl c? g?p XIA là cút =)))),1
194,vl haha,1
195,vl móc ??p th?,1
196,?áng s? vcl,1
197,Khôn vl,1
198,sage 0-10 m? r :))),1
199,clm fan lâu n?m vs cup trong lòng ng??i hâm m? nghe quen quen,1
200,qu? XIA tr??c Bleed hay vl,1
201,qu? 2vs5 tr?n ?ó th?n thánh vl,1
202,Tr?n xia vs bld hay vl :),1
203,vl thua eco th?t luôn :v,1
204,phantom RGX b?n l? l?m vcl nh?ng toàn m?m =)),1
205,vl sinh nang,1
206,adu Sinh N?ng,1
207,tôi yêu valorant và tôi ghét valorant,0
208,? nh?t game này t?i nó ch?i nhi?u vl,1
209,dãy xong thua eco thì vl =)),1
210,l?c fan thì vcl :)),1
211,"d?ng t??ng :)), kh? thân vl.",1
212,th? luôn nhi?u khi dùng owl c?a sova rén vl,1
213,vl ? súng tín =))))))),1
214,vl h?t yoru r,1
215,vl icebox ??u tiên à,1
216,hôm qua xem yoru rén vcl :)),1
217,dm 9-4 r =)),1
218,nhanh vl :)),1
219,4saken b?n kinh vcl =)),1
220,push kinh vl,1
221,Beniia h?i ult nhanh lv,0
222,"vào rank g?p t?i này c?ng ch?u, phi vcl",1
223,nhàn vcl @@,1
224,cay vcl,1
225,Giàu vkl,1
226,Vcl 3-0 nh?t nh?o th? =)))),1
227,"paper rex nó b?n nh? ?i d?o vkl, ai h?i tr??c kêu h? b?n ko có chi?n thu?t ?âu, chui ra",1
228,hi?u nhau vl,1
229,@Nghia Pham hay vl luôn,1
230,trao cúp thôi b?n vãi l th?,1
231,"k? m?a nó ?i, m?y cái b?n ch? c?n ban là xong",2
232,c? t??ng ông caster nói adu clma,1
233,Jingg entry quay cang vl,1
234,Anh Lào B?n Tín Vl,1
235,??? e huy bú c?n à,2
236,"V?n không b?ng t?c ng??i hang ông à <("")",0
237,công nh?n Bleed t? vòng ngoài vào t?n top 8 APAC thì ??nh vl,1
238,dm quee,1
239,Clm b? ng??i th? gi?i :?,1
240,":)))) vaiz, ý ki?n v?i caster ki?u gì, h? nói ?úng mà",0
241,troll vl,1
242,ao chinh vl,1
243,Vl b?n nh? ??ng th? ch? thua,1
244,anh b? lái g?t vl,1
245,a ?ù,1
246,nccc,1
247,aduvipwa,1
248,whip ghê vcl,1
249,vãi n?i,1
250,vcl pina,1
251,?o vc,1
252,vl nãy g? luôn còn ?c,1
253,!botngu,2
254,"gáy c?ng k cho, ng? vcl :))",1
255,màn hình m? vl :)),1
256,?n l,1
257,easy vl,1
258,coi gi?i bu?i chi?u làm bu?n ng? vl :)),1
259,a3 rep dell ?âu mà riêng vs chung,1
260,a ba giàu vcl a ba,1
261,b? kick vl ch? t? out gì,1
262,lag vclll abaaaaa,1
263,non vcl,1
264,rên clm aba,1
265,?ánh dell g?n k?t,1
266,anh ba rên ?i,1
267,ad ngu,2
268,fake cc,1
269,lm jz a híu,0
270,hi?u ra gi?a ???ng r?i t?t qu?n ra ?i anh hi?u,0
271,"?? Híu ngu ti?ng Anh mà coi cái này, t?i ông dà ghê",2
272,anh ? chào anh,1
273,:)) l?n ??u coi ông zà trên youtube :))),0
274,hello híu th? n?ng,2
275,a chào e là a gay,0
276,anh hi?u bù khu bà b?y ?i anh hi?u,2
277,anh t? buscu anh ?i anh hi?u,2
278,chào cái coi condilon,1
279,em có ch?i mà ch?i ngu nh? anh v?y ?ó,2
280,anh ?i tr? em ?i ?a ?i anh,1
281,Anh ?i em m?c dai,1
282,anh ??c là anh gay,2
283,ku ng?ng kìa a,1
284,làm th? thách ?a t? n?m 2022 sang n?m 2023 ?i anh:))),0
285,n?u anh ??c cmt c?a em thì chúc anh b? ni?ng 1 bên,0
286,híu th?o nay m?i ch?i ?? h?,2
287,hôm qua th?y a vô nhà ngh? vs bà u90 nè,2
288,?a a còn s?ng h? a,0
289,anh hi?u bù khu ?i,2
290,hôm qua th?y a ik vs bà u90 vào nhà ngh? nè,2
291,anh hi?u có b? ?? ko anh hi?u,2
292,x?o choá quá anh,1
293,híu th?o m?i ch?i ?? à,2
294,t? bù khu ?i anh,2
295,chào condilon híu,2
296,chúc anh ngày m?i ?a ch?y dui d?,2
297,ANH BÙ KHU CON BÒ ?I ANH,2
298,?á tr?ng cút hai ông blv ?ó ?i anh híu,2
299,m?c váy live ?i ông dà,2
300,G?i anh là ca s? vì lúc nào em c?ng th?y anh “sing”,0
301,anh hi?u ?i b?a em th?y anh ?i vs oog nào zô khách s?n d? anh,0
302,gào thét tên hi?u th?u n?ng ?i a,2
303,anh híu d? th??ng nh? con bòa z tr :)),2
304,helo anh Hi?u ??p ??p nh? con chó nhà em,2
305,anh hi?u ?i anh gi? b? b? con nh?n c?n bi?n thành ng??i nh?n r?i phun t? bay lên tr?n nhà r?i phun t? vô nhà ?i ?a gào thét tên em ?i anh,0
306,anh cú bu con mèo ?i anh híu,2
307,coi anh híu mà em b?n quá ch?ng,2
308,Gacha xui vl :((,1
309,coi anh híu mà em b?n ??y màn hình:))))))))),2
310,V?a c?o lông con trang v?a chào anh,0
311,chào l?i em ?i anh ditmeanh,2
312,vãi :))),1
313,m?t d?y quá anh,2
314,báoooo vãi,1
315,?ù nay live youtube lun,1
316,h? lông nách kìa anh,2
317,tu?t qu?n ra ?i anh hi?u,2
318,anh bò nó ch?i duma kìa anh,1
319,bù khu em ?i,2
320,nói chi?n nghe vô tri z?y chaa,1
321,ông già chào em ?? ch? không em c?n ku anh ?óa,2
322,cái ?? vô tri,1
323,? :),0
324,ch?c ch?n là troll :))),0
325,choi game rat la tron,0
326,Ng?ng ??u lên tôi b?ng th?y mình ??p trai:),0
327,B?n nh? ?ùa,0
328,vua gay duoc 1 round cai bi va vo mat luon,0
329,3 mid luôn,0
330,Chi?n thu?t b?y ?àn:),0
331,M?t a,0
332,Gi? mà stack dc ch?c 5th?ng ng?i lên nhau quá:),0
333,?a lineup c?a fnc ??i r à mn?,0
334,não to th?,0
335,vãi v?a ?i ?ánh r?ng xong v? th?y thua eco ?,1
336,Derke dính cv thì ph?i,0
337,phi ??,0
338,ông derke c?a fnc ?âu r anh em,0
339,fnc m?t derke nh? ki?u m?t 50% s?c m?nh,0
340,h?t gáy,0
341,brazil trc h v?n tay to mà :)),0
342,@Khoa Hu?nh ?i tù r?i,0
343,?ánh c? stage xong m?t 2 thành viên,0
344,h b?n k n?i,0
345,Brasil khi bay thì tay c?ng ngang SEA còn khi choke thì thua c? Nh?t,0
346,B?n BR toàn c?m tinh con ng?a tnay =))),0
347,Gi? thua pistol là thua luôn:v,0
348,braveAF b?n hay c?c,0
349,fnc ko l?t n?i ?âu - choke kha khá bên fnc ròi,0
350,"t? ngày braveAF qua sova, boaster ??i role fnatoac m?i bay",0
351,BraveF main Sova mà,0
352,m?nh d?n ?oán 13-5 cho NIP,0
353,thì braveAF main sova mà,0
354,vcl 9-3 th?t ?,1
355,derke ?i r,0
356,N?m ngoái kru n?m nay nip ch?ng,0
357,Gi?ng furia :),0
358,D?y múa ?i,0
359,bnj l?i múa ti?p cho xem này,0
360,ông derke c?a fnc ?âu r anh em,0
361,S? nh?t ??c viper x2 dame lên nó spam ch? có ch?t:v,0
362,covid r?i b?n,0
363,Raze ?i b? là m?nh nh?t :) hy v?ng anh d?ng nghe th?y,0
364,Derke ?âu r?i ae,0
365,Map này ch?c OT t?i ch?t m?t :))),0
366,? derke ?i tù th?t á,0
367,Ko có ?âu b?n ?i tay nó to th?c s? ?y n?m ngoái acend suýt thua may mà rito cho pause l?i do dùng trick,0
368,covid thôi xD,0
369,?i tù mà ??m,0
370,Hlv chung k?t,0
371,B? ki?n,0
372,Retake ki?u này d? toang,0
373,6 m?ng v?n thua lmao,0
374,lineup 2 stand in k b?n retake m??t ?c,0
375,lineup c? thì ngon,0
376,Nói r?i:v nó chi?m h?t ch? ??p trong site sao b?n,0
377,tay to c? trong game l?n ngoài ??i XD,0
378,"Map này kayo ngon mà k team nào pick nh? , khóa c? ulti Raze",0
379,tr??c fnatoac retake ki?u này ?n su?t mà,0
380,??i lineup k h?p timing nhau nên khó thôi,0
381,Chamber map này c?ng dc,0
382,Skye h?t th?i r?i:v,2
383,Gi? th?i kayo vs chamber,0
384,map này ph?i ch?i con astra c?a th?y nAts ms cháy :)))),0
385,Csgo còn có l?a ch?n ruah ch? game này nó phi qua smoke là bt:v,0
386,"fan Fnatoac game nào c?ng vào hang: LOL, Valorant, Csgo",2
387,Viper controller mà,0
388,EU gi?i này trông h?i suy nh? :)))),0
389,raze dif,0
390,haha,0
391,lulquit khéo t?i thua n?t xerxia,2
392,Con sage vs viper ph?i gi? mid cùng nhau c? tr? ?? cùng lúc,0
393,châu âu g?p b? r?i :)),0
394,Ch? m?i ??a 1 site sao b?n,0
395,fnatic b?n chán quá. Emea ch?c ???c m?i g2,0
396,"thay 2 ng??i cái toang ngay, t?i fnatoac",0
397,fnatoac b?n hay nh?ng thay 2 ng??i b?n ki?u gì ?c,0
398,nhanh xem xia v?i liquid nàoo,0
399,emea m?i gambit là tín,0
400,Fpx,0
401,gambit thua f na toác mà :)),0
402,m?i thay 2 ng??i sao ?òi v?n hành ngon ?c,0
403,gambit có ?n c?ng k?t visa,0
404,L?i m?y anh fanboy gambit,0
405,Fpx #1 EU m?nh vc mà ko ???c ?i :((,0
406,"FPX seed 1 b? visa, Fnatoac seed 3 EU thì m?t Derke, Lulquit thì seed 4, còn m?i G2 làm EU last hope",0
407,give me Nát,0
408,"We miss Gambit , Acend :((",0
409,fpx ?i thay 3 k?t visa thì c?ng nát thôi nói chung gi?i này EU y?u h?n m?i n?m,0
410,"Fpx ?en, b?n hay v?y ko dc qua",0
411,m?y anh nga ng? v?i u cà na dính chính tr? chán,0
412,nhìn NA EMEA ?n hành ko quen ;((,0
413,toàn m?y lý do ngoài l? làm gi?i ??u kém h?p d?n h?n :(,0
414,NA ?n hành thì quen quá r?i ch? k quen gì,2
415,t? champion ?ã no hành r?i,0
416,The guard ng?a ô ??y. Nguy c? vô ??ch,0
417,na ?n hành nh? cái máy có gì mà ko quen =)),2
418,guard ch? m?nh h?n optic,0
419,m?y a Nga gánh EU t? game c qua game v mà gi? bench m? luôn :)))),0
420,thua 0-2 vòng b?ng ck th?ng 3-2,0
421,G2 m?nh mà ko ?n ??nh,0
422,tr?y tr?c th? c?ng nô h?p,0
423,Mistic tay c?ng ph?t,0
424,5 vs 2,0
425,nhìn xia mùa này b?n ko b?ng mùa trc mà v? optic 2-0 thì t ko l? na n?m nay r?ng ti?p,0
426,stand in 2 ông nên k dám ch?i kayo,0
427,lê quy?t ch?c lát g?p xia c?ng toang =)),0
428,ai có link nh?c khum ? ?,0
429,có khi nào prx vô ??ch :v,0
430,"tùy, b?n drx tay ko to b?ng, vô v? m?m c?ng thua",0
431,Lenovo hay sap ay,0
432,sao,0
433,!tournament,0
434,VCT Stage 1 - Masters: Reykjavík,0
435,derke covid,0
436,!team,0
437,covid ? hotel xem stream,0
438,?en th?,0
439,tr?n sau ch?c derke ?c b?n,0
440,12 ??i là nh?ng ??i nào th? ae,0
441,Lên m?ng tra cho nhanh b?n,0
442,2 0 ch? còn gì n?a,0
443,h?i nh? này thì thôi kh?i h?i,0
444,bên này team c? b? khác2,0
445,fpx thì kp c?a tàu,0
446,Bot phèn,2
447,"?a mà liquid b? lo?i r?i ?c ?i, thì tính ?i?m ki?u gì",0
448,fpx k?t visa,0
449,"thì tính nó h?ng 4, gi?i này ?i t?i ?âu c?ng t?i ?ó",0
450,liquid ?n vé v?t,0
451,tháng 5 là gi?i jz ae,0
452,"fpx thì v?n h?ng 1, tính ?i?m trong top 8",0
453,fpx mà ?i ???c thì ch?c nó th?ng tr? c? gi?i,0
454,prod last hope na,0
455,"fpx mà tính ?i?m c?ng ngang zeta =)), bi?t ?úng mà th?y hài",0
456,"?âu fpx c?ng trong top 8, t?c là 4 team qua ?c 2 b?ng này",0
457,zeta vòng b?ng ch?c cút r?i k vào top 8 ?c,0
458,"wow FNC m?nh quá, thua c? BR luôn... hôm n? ai có hype up FNC ?âu rùi",0
459,fnc này ?âu ph?i ??i hình chính ?âu bro,0
460,fnc chúa h? h? ae??,0
461,bnj múa l?i d?o,0
462,xong h?n :)),0
463,wep =)))),0
464,roài xong,0
465,fnatoác =)))),0
466,Có 1 bài làm mi?t :)),0
467,Th? này nhé ch?i cho vui thì game nào cx nh? nhau,0
468,chu?n b? xem rould sau thôi :V,0
469,Tr?n 1: FNC vs. NIP - Tr?n 2: XIA vs. TL,0
470,g?p b?n cá rô phi csgo châu âu còn ?? dc ch? qua bên này thôi no hope,0
471,Mi?n bàn,0
472,Fnoobtic ?i r ông giáo à,0
473,@KD NT hôm nào c?ng g?p ông,0
474,2 standin v?n nhi?u ông kh?a ? ? hi?u,1
475,thôi gg nhanh xem xia b?n,0
476,fntoac,0
477,ch? stand in 2 th?ng b?n qq gì,0
478,1 stand in thôi là ?? m?t r?i 2 thì thôi b?n for fun,0
479,E ?ang dùng thu?c gi?m ?au ?ây,0
480,sao b?n này b?n chán th? ko ?? tu?i so v?i sen ??,0
481,ít h?n csgo,0
482,có ae nào có acc pbe lol xong k chat ?c trong server k,0
483,mà công nh?n gái bên ?ó xinh th?t:),0
484,stuck ? immortal t?i ch?t,0
485,server valorant ?y,0
486,b? các player tay c?ng to mà phantom toàn m?m,0
487,m?i t?i dòng,0
488,@hung nguyen game L ? VN d?o này c?ng suy vch ra ?? gi?i ??u gi? quay tr? v? th?i ?? ?á lèo tèo vài ch?c nghìn view,1
489,??ng ??i t? quá gánh ko dc vs content h?i nhi?u,0
490,b? các player gi? toàn xài não thôi ch? ?? tay ko l?i m?y ông tr? r?i,0
491,"cái gi?i ao làng vcs thì nói chi, viet nam drama championship",0
492,th?y b?n ko ch?t c?ng y?u dc vs l?i th?y toàn dink ko à,0
493,vinhcs ch?:),0
494,"drama ? ?âu ch? drama, Hàn Trung c?ng có hu?ng chi VN",0
495,t? ??t ban m?y th?ng kia th? là nó bay h?t cm view,1
496,nh?ng mà mình c? 1 ngày 1 v? hít ko n?i :),0
497,lpl trung gi? bán ?? nh? cái máy cày =)),2
498,1 ph?n là có mình gam th?ng tr? gi?i nên ch? có gì ?? coi,0
499,"h?i 2020 trông còn có hope, mà ?en éo ???c ra th? gi?i, sang 2021 ?ánh b?n m?t vch",1
500,ae nhà ban ph??c ban l?c,0
501,Fnatoác thi?u braveaf th?t h?n nh?,0
502,thi?u th?ng ?ó th?t là ch?c r?i,0
503,công th?n mà,0
504,thêm ông th?y ba n?a su?t ngày d?y m?y trò gì ?âu ko lo t?p trung phát tri?n ??u t? team,0
505,"rác thì ? VN này môn th? thao nào c?ng có rác. bóng ?á nè v?a r?i clb tphcm kh?t lót tay, c?u th? ?ình công",0
506,con game nao khong,0
507,"èo ôi ông còn theo dõi v league á, tôi không coi ???c 5 6 n?m gì r?i :v",0
508,m?i l?p cái hi?p h?i th? thao ?i? t? xem có hope gì ko hay l?p ra for fun,0
509,"t ??c báo thôi, c?ng ch? xem m?y",0
510,VFF còn fun hu?ng chi esport,0
511,cái hi?p h?i ??y l?p lâu r,0
512,d?ng 4 tháng cho u23 ?á sea game,0
513,@Tr?n Ng?c V?n ông nói s ch? tui th?y cho m?y ng??i b? ung th? coi c?ng t?t mà ??,0
514,"ch?t l??ng sân ??u ?ã kém, c? ch?t l??ng quay mà trình ?? c?u th? c?ng kém n?t thì có gì coi",0
515,d?ng 4 tháng võ league cho u23 ?á sea game,0
516,se vs lck ?ánh lol còn nhi?u view h?n gam ?ánh là hi?u v?n ?? rôi:v,0
517,"v?n ?? là v?n là k có ti?n nhi?u thôi ?? cái gì ch? v?y, m?y team esports ? VN nghèo mù",0
518,ki?u này vn mình lót ???ng dài dài,0
519,"nói gì thì nói ch? t th?y LoL VN hay esports VN nói chung ?c nh? v?y là c? l?m r?i, so v?i khu v?c thì c?ng k kém ai m?y",0
520,móc cmm ra cái view se ra ?ây tao xem nào h?n ???c GAM bao nhiêu,1
521,Vct master s? thú v? h?n n?u có m?y ông nga ng? ??,0
522,may h tran tiep theo z,0
523,3h,0
524,"xem vinhcs chán vl, gi? xem lck lpl chuyên môn ?ã, thêm ông v?n tùng phân tích th?y nó hi?u sâu h?n =))",1
525,t? ??i có LCK phát view VCS x?t th?m h?i cmnl,1
526,!caster,0
527,??i ng? BLV chuyên nghi?p ??n t? 500Bros Media: Tr?ng Linh - Lynx - Tomy - Sinh Toxic,0
528,!matchday,0
529,loi am thanh a`,0
530,sao ti?ng nó ch?m th? ae,0
531,âm thanh b? ch?m h?n 1-2s thì ph?i,0
532,apac manh nay` vn sao co slot =)),0
533,a lynx nãy m?i b? a bom ch?i te tua . gi? cast gi?i típ ??,0
534,mua do ae,0
535,vn mình b?a gi?i university redneval hành m?y ae ra bã. ra ngoài cái thái lan vã te tua,0
536,l?i âm thanh kìa,0
537,red thu?c top 3 VCT sao dc b?n,0
538,ok roi ad,0
539,có lu?t là top 3 vct vn ko dc b?n mà,0
540,scream gat z,0
541,out trình quá,0
542,Jamppi c?m op l? quá :)),0
543,fake ác,0
544,qu?y kìa,0
545,oke,0
546,Ko save op =)),0
547,Hay r?i,0
548,phake ??nh th?,0
549,À nãy ??i súng r,0
550,Eu diff =)),0
551,Có khi nào xerxia 2-1 liquid không ta =))),0
552,S? có 12 ??i tuy?n ??n t? kh?p các khu v?c tranh tài t?i gi?i ??u này.,0
553,ch? có gáy vs drama là m?nh :)),0
554,là m?nh h?n so v?i sea thì ?úng,0
555,ra th? gi?i nó v? ko tr?t phát nào,0
556,k ???c ??u t? thì ch? th? thôi m?y ông =)),0
557,d?o này covid có ?c ?i gi?i qu?c t? ?âu,0
558,m??t ?ét,0
559,m?y n?m tr??c còn ?i CKTG thì còn b?o m?nh h?n sea,0
560,dau` tu valorant thi` muot det,0
561,ch? 2 n?m r?i ko ?i CKTG thì ko bi?t ai h?n ai ?c,0
562,"tôi c?n drama ?? s?ng, các bác làm ?n ??ng bôi nh? n?i drama c?a tôi n?a :)))",0
563,ông ?i d?o này có ?i cktg v?i mái ?âu quên à,0
564,?ã k mu?n cho ?i thì s? ki?m lí do,0
565,CKTG toàn ngay lúc ??nh d?ch c?a VN vs TG,0
566,n?u ?c ??u t? thì c?ng khó kh?m khá lên dc,0
567,mu?n ?i c?ng ko ai cho ?i,0
568,@Phi Tran vào seagame là bi?t m?nh h?n sea ha k thui,0
569,ma vuong suyt ra nc ngoai` day,0
570,m?a Crazyguy b?o,1
571,ukm,0
572,thì ch? seagame m?i bi?t dc,0
573,"Cerberus l??ng cao nh?t Vi?t Nam, nh?ng so v?i Sin, indo thì b?ng 1/3 =))",0
574,"Thì sin indo nó nhi?u ??u t?, tâm lý ??i v?i game nó thoáng",0
575,vs l?i m?y b? chuyên nghi?p VN c? th?y sao sao rý,0
576,"còn VN mình thì có bao nhiêu ông b? bà m? cho con ch?i game ?âu, nên khó có ??u t? l?m",0
577,vn mình nói ??n ch?i game nó v?n còn nhi?u ??nh ki?n vl thì,1
578,VN ph?i có vài th?n ??ng m?i hi v?ng có ti?ng nói trong sea,0
579,m?t b?ng chung l??ng VN th?p,0
580,m?y ông ch?i game ki?m ?c ti?n thì ai nói gì,0
581,LOL thì out trình SEA,0
582,vì b?n kia nó có ??u t? ?âu,0
583,Nói ch?,0
584,"? VN toàn th?y cúp h?c , tr?m ti?n ?? ch?i game",0
585,nên ko có ??nh ki?n m?i l?,0
586,"v? quê ?i là th?y , ngày th??ng ? ti?m net ?ông h?n cu?i tu?n",0
587,Vi?t Nam có ??u t? l??ng cao nh?ng ? game mobile nh? liên quân free fire thôi :)). Còn ? LOL thì ch?c có Levi là l??ng ?n,0
588,vs l?i VN toàn chu?ng game d? thôi,0
589,Vì sao cúp h?c tr?m ti?n,0
590,h? tí là h?c sinh cúp h?c ng?i net :v cu?i tu?n ?c ngh? nên ko có lí do ra net,0
591,ch? kinh t? vn mình còn y?u m?y ai có s?n máy ? nhà mà ch?i,0
592,??y ??a b? m? ?âu c?m ch?i nh?ng nó v?n cúp h?c ?? ch?i,0
593,tran 1 FNC hay NIP thang vay may ong,0
594,NIP,0
595,@??c Hoàng NIP 2 - 0 nhé,0
596,Mà nip m?nh ph?t,0
597,Mai có tr?n nào z ae,0
598,tính ra xia ngang trình vcd n?a round ??u san t? s? lun,1
599,gi?i này là gi?i gì v?y mn,0
600,nh?c v?y thôi mà có m?y a b?n t? nh?t vào cãi m?t th?c s?,0
601,có hope ch? no hope ?âu,0
602,"thôi các C? Thi?u Hoàng online là nh?t, tôi xin thua nhé",0
603,"oke cam on :)) NIP ca CSGO, doto bh ca valorant cung manh phet nhi",0
604,làm n?m nay thành n?m ko ph?i c?a na vs eu thì hm,0
605,!schedule;,0
606,@Nam ?? nói ?éo l?i xong l?i các b?n là nh?t :)))) c?m ?n nhé t? bi?t t? là nh?t mà,1
607,"@Nam ?? nah, v?n ngu thì v?n là ngu thôi ông, t ch? chê gì ai mà nghe cái v?n ngu quá ng?a m?m thôi",2
608,À mai Drx vs Nip :v,0
